run_id,model_name,eval_split,average_precision,roc_auc,log_loss,brier_score,train_time_seconds,predict_time_seconds,encode_fit_time_seconds,encode_transform_time_seconds,n_train,n_eval,positive_rate_train,positive_rate_eval
0,logistic,val,0.06190737898611196,0.9225774570590651,0.06867670164756322,0.01553168157687179,0.007101578999993308,0.0019606889999863597,0.04130307799999855,0.014444604999994226,1740,60000,0.1,0.0009666666666666667
1,logistic,test,0.02882900266032669,0.9120057434830681,0.06873519942782495,0.015590312376500208,0.007101578999993308,0.0019228230000294388,0.04130307799999855,0.013811657999951876,1740,60000,0.1,0.0009666666666666667
2,rbf_svm,val,0.07447451390678828,0.7926334537179043,0.07647718237325449,0.012428987714586698,0.08516686799998752,1.4851625470000158,0.04130307799999855,0.014444604999994226,1740,60000,0.1,0.0009666666666666667
3,rbf_svm,test,0.03489005486382905,0.8105637173405557,0.07649595440046968,0.012398208759996657,0.08516686799998752,1.3566266919999634,0.04130307799999855,0.013811657999951876,1740,60000,0.1,0.0009666666666666667
4,random_forest,val,0.06542485462237622,0.8954011866643503,0.06242593035642199,0.01409296320834986,1.0277153130000443,0.7167051769999944,0.04130307799999855,0.014444604999994226,1740,60000,0.1,0.0009666666666666667
5,random_forest,test,0.06013592412966735,0.9035843844451936,0.062230962959050735,0.014030849610964333,1.0277153130000443,0.6617295300000023,0.04130307799999855,0.013811657999951876,1740,60000,0.1,0.0009666666666666667
6,mlp,val,0.07013067325724606,0.9039588843928441,0.07551794027126707,0.015587197780433845,0.20022607900000366,0.5594982300000311,0.04130307799999855,0.014444604999994226,1740,60000,0.1,0.0009666666666666667
7,mlp,test,0.026218985122777098,0.9094282519078788,0.07548166367471312,0.01560891043651601,0.20022607900000366,0.3525455719999968,0.04130307799999855,0.013811657999951876,1740,60000,0.1,0.0009666666666666667
8,catboost_encoded,val,0.10420179811688877,0.9218316211418164,0.06175898831731644,0.013540919251288674,0.6806656010000438,0.01924981300004447,0.04130307799999855,0.014444604999994226,1740,60000,0.1,0.0009666666666666667
9,catboost_encoded,test,0.03699358393351131,0.9173419362855358,0.06179740333332652,0.013528900670924873,0.6806656010000438,0.010816777000002276,0.04130307799999855,0.013811657999951876,1740,60000,0.1,0.0009666666666666667
10,catboost_native,val,0.05725110277077579,0.9205397113761694,0.05669918941806752,0.012058934160831408,0.5149724390000188,0.09048477099997854,,,1740,60000,0.1,0.0009666666666666667
11,catboost_native,test,0.03338946599097961,0.9141320805514296,0.0569688404112767,0.01211444885180259,0.5149724390000188,0.06326827699996329,,,1740,60000,0.1,0.0009666666666666667
