eval_split,model_name,average_precision,roc_auc,log_loss,brier_score,score_entropy,normalized_score_entropy,tie_rate,n_unique_scores,occupied_bins,max_score_gap,train_time_seconds,predict_time_seconds
val,gaussian_process,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
val,rff_logistic,0.9803665019058918,1.013932434169273,0.63650565325247,0.610794415172753,0.8877018862928511,0.887701886292851,,1.0,0.9473684210526315,1.43316462967983,0.03948426340666862,0.010177097528322557
val,logistic,0.8434536549879078,1.0356394048328446,0.5157988067950706,0.596932484776935,0.7230302677528123,0.7230302677528123,,1.0,1.3157894736842106,1.2717859451992066,0.04023180929526835,0.004112354188638954
val,logistic_balanced,0.8277283248341077,1.0192594554384107,2.1800070162939185,3.7142784840944825,1.2589798844292481,1.2589798844292484,,1.0,1.3157894736842106,0.18414594074217353,0.0090403984449317,0.004099239557610755
val,linear_svm,0.8206138892416871,1.0229409519506771,0.5252707488109241,0.6056475601526875,0.7337697750133192,0.733769775013319,,1.0,1.3157894736842106,1.3194007828402443,0.02186309505020579,0.012096866219890706
val,rbf_svm,0.8002463705787343,1.0193315080017291,0.5139731734936085,0.49034632445920884,0.6786850604539001,0.6786850604539001,,1.0,1.2894736842105263,0.283152683395447,0.08293963317022186,0.12726228497421727
val,catboost_conservative,0.7628087272413157,1.0387193273536197,0.4361239237626008,0.5271956927407878,0.5681424667931497,0.5681424667931497,,0.8822833333333333,1.2894736842105263,0.37170030541926735,0.2739149324986549,0.0008293951852658319
val,mlp,0.7013073440419443,1.0324492938199672,0.4521216677647964,0.5490255091990283,0.6249534317765766,0.6249534317765766,,1.0,1.263157894736842,1.3874223798578407,0.09469002927142957,0.005050121493547404
val,catboost_aggressive,0.5206718567356473,1.0034655011028586,0.4443106836663677,0.6223647938863897,0.33420366081078323,0.3342036608107832,,0.98425,1.3157894736842106,0.28570006279727217,0.5885761582570533,0.0018444537126054595
test,rbf_svm,1.2697913464472508,1.019587723742615,0.5159917779642165,0.49084421085891267,0.6785126802027092,0.678512680202709,,1.0,1.3243243243243243,0.17412986379797918,0.08293963317022186,0.3207625246369635
test,mlp,1.1803351693071258,1.0377923723553968,0.4514268743229247,0.5492262011484546,0.6240350097697241,0.624035009769724,,1.0,1.2432432432432432,0.24369575941178862,0.09469002927142957,0.0065516032024980015
test,catboost_aggressive,1.1689874294703808,1.0107862174581874,0.4392806298368167,0.59744077820753,0.3266953228037881,0.32669532280378794,,0.9833833333333334,1.3513513513513513,0.17537902399926353,0.5885761582570533,0.00476877962317094
test,catboost_conservative,1.1646741192336785,1.0408613056975948,0.439079410075643,0.5297248143289107,0.568411597870617,0.5684115978706168,,0.88105,1.3243243243243243,0.13748508443154622,0.2739149324986549,0.0019060583051916922
test,logistic,1.1052494212714392,1.0399313407837516,0.5189570434215923,0.6056421160158354,0.7229109274776625,0.7229109274776625,,1.0,1.3243243243243243,0.2608005579221299,0.04023180929526835,0.004874741965653192
test,linear_svm,1.1016746063719558,1.0312136770835618,0.5262677458824068,0.6083673631620597,0.7349805631782323,0.7349805631782322,,1.0,1.2972972972972974,0.37179612512560634,0.02186309505020579,0.022362874926858223
test,logistic_balanced,1.0411687645582886,1.0276559349250542,2.1815853008248745,3.699487475441728,1.261733858352462,1.261733858352462,,1.0,1.3513513513513513,0.047896164356893076,0.0090403984449317,0.005019121424219385
test,gaussian_process,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
test,rff_logistic,0.6733148778637629,1.0275563718562717,0.6345868279512469,0.6087736744696444,0.8871653646674899,0.8871653646674899,,1.0,0.972972972972973,0.3846699708568464,0.03948426340666862,0.018170736372456475
