depth,l2_leaf_reg,split,auc,average_precision,brier_score,logloss
2,1,eval,0.4919899244332494,0.010034712773239963,0.007587941968415132,0.04785430368231099
2,1,test,0.5424866334186997,0.012581805219450331,0.010808048022138325,0.06356137185133402
2,3,eval,0.4888664987405541,0.008773314208345892,0.007626171616384839,0.04771224330141698
2,3,test,0.5530507256144134,0.0126567639160792,0.010808607151279194,0.0627357405283856
2,10,eval,0.48510495382031915,0.007969824894090457,0.007573175151164322,0.047015621896689425
2,10,test,0.560522157823007,0.012727014099143435,0.01078305063034965,0.06156373680582952
2,30,eval,0.5049874055415617,0.012917391010720963,0.007487934798910048,0.04527649919517016
2,30,test,0.5684541193032904,0.013176521499484624,0.010749773928622867,0.060683074212871904
2,100,eval,0.4669353484466835,0.007848022009616247,0.0075229545977307044,0.046081826116709385
2,100,test,0.545703786074793,0.012153993234990317,0.010742654134620494,0.060774901804078914
3,1,eval,0.40940386230058773,0.007619107225591271,0.0076130914647390925,0.051749452054434056
3,1,test,0.5512685147743781,0.012566521187730774,0.01081037533524524,0.06653361418507737
3,3,eval,0.4675062972292191,0.008239911387088007,0.007538901155480792,0.04801757666466712
3,3,test,0.5710862500187207,0.013190049784949358,0.010752024295175402,0.06257048747502808
3,10,eval,0.4331150293870697,0.00705486740693854,0.0075503488844229786,0.04754602420408557
3,10,test,0.5641333812583307,0.01280369592767357,0.01074421554053896,0.061248505371189844
3,30,eval,0.48466834592779173,0.008375444887652878,0.007508324973833649,0.0459392735957186
3,30,test,0.5606185694388283,0.01250224067225733,0.010748673108671093,0.060889609153191235
3,100,eval,0.44900083963056253,0.007415558794544072,0.0074981513492932755,0.04595673309591859
3,100,test,0.542012063620434,0.012544320036036801,0.010722410115321193,0.06059450038481383
4,1,eval,0.4551805205709488,0.008942576266379102,0.007532364534882232,0.052300123901651466
4,1,test,0.556753680490033,0.013278746401939425,0.010759115915154376,0.0692551122804841
4,3,eval,0.5079429051217464,0.008829710706125019,0.007496882294782967,0.04764278579284605
4,3,test,0.5409374953198245,0.012286167423608867,0.010766524967768847,0.06486807677196389
4,10,eval,0.441007556675063,0.0077561714766633,0.0075100995344287045,0.047083790821889765
4,10,test,0.561975820341166,0.01265341158182086,0.010730316994825628,0.06137463712138506
4,30,eval,0.47533165407220823,0.007316274828063365,0.0075090466102014,0.04626403602693895
4,30,test,0.54388132572524,0.01192758083294878,0.010743531175172072,0.06125617620960528
4,100,eval,0.47751469353484466,0.008403104661383241,0.007485708754736278,0.045537673739586976
4,100,test,0.536556851028141,0.013166359481329309,0.010720363472854344,0.06038939673517702
5,1,eval,0.47425692695214106,0.009237548349479093,0.007493807435652711,0.054468973176208864
5,1,test,0.5691392970001946,0.014016879970348929,0.010768350430823602,0.07409833567595274
5,3,eval,0.4773131821998321,0.007642861921799988,0.007489034448447453,0.048800846034659624
5,3,test,0.5554628880801546,0.013276582832720596,0.010747936719504355,0.0658219499170762
5,10,eval,0.4217632241813602,0.006959831144782913,0.007501624854684703,0.04749270534511326
5,10,test,0.5327434440101242,0.012739424859942837,0.010723501491067048,0.06229994567959639
5,30,eval,0.42854743912678417,0.006736622320409935,0.007511413639130749,0.04675819149855441
5,30,test,0.5500207799793324,0.012552681894699175,0.010736974838368045,0.061080210667610914
5,100,eval,0.4182031905961377,0.0065405960278601995,0.007497261819480283,0.046279361167697146
5,100,test,0.5279153749382217,0.013033799387304104,0.010713492091025258,0.060384072868801854
6,1,eval,0.46381192275398825,0.008471559031004109,0.007490793138683987,0.05724586044729058
6,1,test,0.5551390199338035,0.013444753608144991,0.01077664525093103,0.0783926588845986
6,3,eval,0.4346599496221663,0.007364018111027934,0.0074889940185662906,0.050278971245474306
6,3,test,0.5535674169924069,0.01235829708056093,0.010751591338307142,0.06712605728278752
6,10,eval,0.450512174643157,0.006813171168447934,0.007497260026852178,0.047314783588053355
6,10,test,0.5491792844198828,0.012044509417585435,0.01073299214955905,0.06287539492545809
6,30,eval,0.4224349286314022,0.006601016472295383,0.007512166037866774,0.04707506168340758
6,30,test,0.5583636608707373,0.012608633626352192,0.010717562943908587,0.060952410000211045
6,100,eval,0.43952980688497056,0.0071230683622383086,0.007487542268789217,0.045953359079514415
6,100,test,0.550725614413443,0.013387494916697749,0.010701325151761292,0.06011613743341995
8,1,eval,0.48544080604534,0.010102032578758309,0.007491658727131413,0.06081671769833791
8,1,test,0.5639864237468362,0.013113483895766657,0.010786285251558147,0.08457225182185864
8,3,eval,0.48013434089000834,0.0075731024905274875,0.007483630141946781,0.05192538164399009
8,3,test,0.5717957646283566,0.013832905077986828,0.01075481444933652,0.07012393085973505
8,10,eval,0.5110999160369438,0.008477297054529357,0.007470809788601823,0.046652193778289955
8,10,test,0.5622510146620538,0.012694372682607199,0.010728765559279346,0.06380325982906163
8,30,eval,0.4704617968094038,0.007249947807536019,0.007488677840774477,0.04629336101644617
8,30,test,0.5478866199397943,0.012363871985731481,0.010713350844706853,0.06146498406364918
8,100,eval,0.4856087321578505,0.007632958197238225,0.0075097165386009725,0.04627961652576926
8,100,test,0.5418304728100523,0.01308901546640294,0.010708641355651525,0.06040357482999316
