extractor_config,sigma,score_type,mean_actual,std_actual,r2,spearman
heavy_reg,0.05,kernel_score,0.48132014115709393,0.0329075058014767,0.12926671988262983,0.4779286031613741
heavy_reg,0.05,beta_var,0.0803805801530492,0.004906682299200602,0.10687993141544694,0.44129799998998676
heavy_reg,0.05,weighted_label_var,0.026563454199075538,0.06188187770778161,0.09047623610937194,0.6731572115417369
heavy_reg,0.05,binary_entropy,0.9958331876447214,0.011615894998950528,0.040374936730456334,0.3728649042458747
heavy_reg,0.05,inv_effective_n,0.37552043645005734,0.13059737659181694,0.20684759944039688,0.40386458236759487
heavy_reg,0.1,kernel_score,0.3061851796048653,0.10258266569068306,0.7665293161771487,0.8697059950026386
heavy_reg,0.1,beta_var,0.04367229919483068,0.016931651192300883,0.7771812522748376,0.8872522493957821
heavy_reg,0.1,weighted_label_var,0.06292433629473054,0.07346845056340423,0.6057636920125646,0.825071380827247
heavy_reg,0.1,binary_entropy,0.8533037021041748,0.10913536719459797,0.7201884811570072,0.8627199885035172
heavy_reg,0.1,inv_effective_n,0.09820137234312479,0.05940900054440906,0.5621320793417385,0.8037893004987461
heavy_reg,0.25,kernel_score,0.09764327436984013,0.06665196302920758,0.9929815869167216,0.9947782343176005
heavy_reg,0.25,beta_var,0.0008431617533987698,0.0008928374448412587,0.9604550946330165,0.9866637299658613
heavy_reg,0.25,weighted_label_var,0.07790107542007328,0.04638122595002242,0.9933254927867005,0.9958129015766553
heavy_reg,0.25,binary_entropy,0.4311950499080548,0.1734200304430288,0.993260642712277,0.9957084145504944
heavy_reg,0.25,inv_effective_n,0.0018854306835984049,0.0005708591065967118,0.9202924874227019,0.9755241278626754
heavy_reg,0.5,kernel_score,0.09738130985437789,0.01822992767931837,0.9959317512649516,0.997646222285673
heavy_reg,0.5,beta_var,0.00010674012824566758,2.8671599506971698e-05,0.9905417353887817,0.9944223153388458
heavy_reg,0.5,weighted_label_var,0.08678156013524721,0.014368747482038214,0.9958906500341264,0.9975457927605279
heavy_reg,0.5,binary_entropy,0.458027318092608,0.05626746782902193,0.9958251385391551,0.9975679200160679
heavy_reg,0.5,inv_effective_n,0.0005639942902664395,1.130695452989747e-05,0.9537960296034426,0.9784775791032533
light_reg,0.05,kernel_score,0.486945967578068,0.027861767904788393,0.2097849413682903,0.6135384643646931
light_reg,0.05,beta_var,0.0814428857475482,0.004236503962252372,0.18863132791017323,0.6041510517643197
light_reg,0.05,weighted_label_var,0.017991075599056116,0.051771907963954304,0.04524739886798834,0.562199332049833
light_reg,0.05,binary_entropy,0.9972364181093912,0.011366473596008465,0.1048549777083907,0.4934842495524226
light_reg,0.05,inv_effective_n,0.47100917157463557,0.21590255309119014,0.4291129674292292,0.6743014226326162
light_reg,0.1,kernel_score,0.3537022738787531,0.10749270975259247,0.8147618492970844,0.9005898631474658
light_reg,0.1,beta_var,0.05571156053668128,0.01967877210483526,0.832560983148501,0.902728448182112
light_reg,0.1,weighted_label_var,0.05021469101735617,0.0726825299624718,0.38185199735997677,0.7274694018673504
light_reg,0.1,binary_entropy,0.899654731434633,0.10955317484968569,0.810163995096857,0.877525812381453
light_reg,0.1,inv_effective_n,0.15055912565106885,0.09404092334066852,0.5783867179115935,0.8341868430467106
light_reg,0.25,kernel_score,0.09916639024072879,0.09138216289200722,0.988771156905449,0.9910150476253927
light_reg,0.25,beta_var,0.0018594405217029287,0.0028072437293890987,0.9416940893679308,0.9832189426230996
light_reg,0.25,weighted_label_var,0.07111040527803564,0.056196217400470275,0.9881685468919769,0.9924397476099368
light_reg,0.25,binary_entropy,0.4134762319266335,0.21324044135157025,0.9895895797839079,0.9935718578929643
light_reg,0.25,inv_effective_n,0.003087760381530299,0.0015543402122237713,0.9212729468848533,0.9766995281748821
light_reg,0.5,kernel_score,0.09186702638892223,0.02333688756418912,0.9960586777869901,0.9979790344947586
light_reg,0.5,beta_var,0.0001266642447468384,5.1424220458490026e-05,0.9943281231051879,0.996732278418365
light_reg,0.5,weighted_label_var,0.08190062303858116,0.018425102027856726,0.9963495780435687,0.9981009140252285
light_reg,0.5,binary_entropy,0.43824019820360144,0.07298567362168258,0.9964481004054007,0.9982243550560886
light_reg,0.5,inv_effective_n,0.0005865416543261808,1.4672637313467492e-05,0.9424918611449289,0.9689805157451288
